PPFD,CO2,T,Pn
1500,1900,26,36.69044194
1300,1900,26,34.77255723
1100,1900,26,33.88038869
1000,1900,26,32.38136922
900,1900,26,31.9044454
800,1900,26,29.53986199
700,1900,26,28.40672563
600,1900,26,27.89203963
500,1900,26,25.08955968
400,1900,26,20.81889904
300,1900,26,17.51067163
200,1900,26,12.32991737
100,1900,26,4.479247961
50,1900,26,1.861193467
20,1900,26,0.234623036
0,1900,26,-1.132447608
1900,1600,26,38.67075436
1700,1600,26,37.41999394
1500,1600,26,35.85970647
1300,1600,26,34.61978258
1100,1600,26,33.53256025
1000,1600,26,33.4896234
900,1600,26,32.22888124
800,1600,26,31.3238011
700,1600,26,29.87332853
600,1600,26,27.21051465
500,1600,26,24.82404378
400,1600,26,20.30857663
300,1600,26,16.41705028
200,1600,26,10.67510258
100,1600,26,4.050980421
50,1600,26,1.947584803
20,1600,26,0.212733793
0,1600,26,-0.890851239
1900,1300,26,36.34242108
1700,1300,26,35.5565798
1500,1300,26,34.80585597
1300,1300,26,33.72224613
1100,1300,26,32.08271616
1000,1300,26,30.58019714
900,1300,26,30.50480166
800,1300,26,29.89662176
700,1300,26,28.82805999
600,1300,26,26.20345666
500,1300,26,23.4863304
400,1300,26,20.70409626
300,1300,26,15.70133561
200,1300,26,10.20940065
100,1300,26,4.805847357
50,1300,26,1.922657418
20,1300,26,0.453601212
0,1300,26,-0.952798714
1900,1000,26,31.50274206
1700,1000,26,30.83960339
1500,1000,26,29.84672095
1300,1000,26,29.01004814
1100,1000,26,25.36289601
1000,1000,26,24.84107092
900,1000,26,23.97807495
800,1000,26,22.69434084
700,1000,26,20.66085897
600,1000,26,18.23863747
500,1000,26,16.98876645
400,1000,26,14.24000229
300,1000,26,11.8629354
200,1000,26,9.570390377
100,1000,26,4.262526006
50,1000,26,1.512945702
20,1000,26,-0.493725379
0,1000,26,-1.491543979
1900,800,26,26.05781807
1700,800,26,25.35020882
1500,800,26,24.38093317
1300,800,26,23.47598308
1100,800,26,21.65987219
1000,800,26,20.11480432
900,800,26,19.77251992
800,800,26,18.42911804
700,800,26,17.45879177
600,800,26,16.4278472
500,800,26,14.25885507
400,800,26,12.63106124
300,800,26,10.6886716
200,800,26,6.71860991
100,800,26,3.170456031
50,800,26,1.116921907
20,800,26,0.212686348
0,800,26,-0.568589857
1900,600,26,22.35761432
1700,600,26,20.58515971
1500,600,26,19.362677
1300,600,26,18.70216281
1100,600,26,17.33250974
1000,600,26,16.96505402
900,600,26,16.65495384
800,600,26,15.1623861
700,600,26,14.59738646
600,600,26,14.05008033
500,600,26,12.28581795
400,600,26,11.60228973
300,600,26,9.540482834
200,600,26,5.847725077
100,600,26,2.136617121
50,600,26,1.2425503
20,600,26,0.071177439
0,600,26,-0.684485274
1900,400,26,16.68618929
1700,400,26,16.2986389
1500,400,26,15.92699789
1300,400,26,15.49704928
1100,400,26,14.75212113
1000,400,26,13.39307661
900,400,26,13.10221493
800,400,26,12.85035598
700,400,26,11.66400215
600,400,26,10.91361104
500,400,26,9.74227526
400,400,26,9.58496135
300,400,26,6.624957944
200,400,26,5.977442821
100,400,26,1.918987262
50,400,26,0.082099576
20,400,26,-0.039365705
0,400,26,-0.830544168
1900,200,26,9.454301281
1700,200,26,8.793541199
1500,200,26,8.60909117
1300,200,26,8.12942151
1100,200,26,8.12205519
1000,200,26,7.05212102
900,200,26,7.97694504
800,200,26,7.83940279
700,200,26,7.55302723
600,200,26,7.0563764
500,200,26,7.349909628
400,200,26,6.159684321
300,200,26,5.71761418
200,200,26,4.738296445
100,200,26,2.233973746
50,200,26,0.70776896
20,200,26,-0.345674841
0,200,26,-1.228109071
1900,0,26,-3.111655297
1700,0,26,-3.206648884
1500,0,26,-3.217509741
1300,0,26,-3.239832374
1100,0,26,-3.251040675
1000,0,26,-3.206394175
